year,treat_year,counties,mean_weight
2009,0,1222,53331.85024549918
2010,0,1222,53331.85024549918
2011,0,1222,53331.85024549918
2012,0,1222,53331.85024549918
2013,0,1222,53331.85024549918
2014,0,1222,53331.85024549918
2015,0,1222,53331.85024549918
2016,0,1222,53331.85024549918
2017,0,1222,53331.85024549918
2018,0,1222,53331.85024549918
2019,0,1222,53331.85024549918
2009,2014,978,86320.54089979549
2010,2014,978,86320.54089979549
2011,2014,978,86320.54089979549
2012,2014,978,86320.54089979549
2013,2014,978,86320.54089979549
2014,2014,978,86320.54089979549
2015,2014,978,86320.54089979549
2016,2014,978,86320.54089979549
2017,2014,978,86320.54089979549
2018,2014,978,86320.54089979549
2019,2014,978,86320.54089979549
2009,2015,171,69628.98245614035
2010,2015,171,69628.98245614035
2011,2015,171,69628.98245614035
2012,2015,171,69628.98245614035
2013,2015,171,69628.98245614035
2014,2015,171,69628.98245614035
2015,2015,171,69628.98245614035
2016,2015,171,69628.98245614035
2017,2015,171,69628.98245614035
2018,2015,171,69628.98245614035
2019,2015,171,69628.98245614035
2009,2016,93,35801.3870967742
2010,2016,93,35801.3870967742
2011,2016,93,35801.3870967742
2012,2016,93,35801.3870967742
2013,2016,93,35801.3870967742
2014,2016,93,35801.3870967742
2015,2016,93,35801.3870967742
2016,2016,93,35801.3870967742
2017,2016,93,35801.3870967742
2018,2016,93,35801.3870967742
2019,2016,93,35801.3870967742
2009,2019,140,41508.74285714285
2010,2019,140,41508.74285714285
2011,2019,140,41508.74285714285
2012,2019,140,41508.74285714285
2013,2019,140,41508.74285714285
2014,2019,140,41508.74285714285
2015,2019,140,41508.74285714285
2016,2019,140,41508.74285714285
2017,2019,140,41508.74285714285
2018,2019,140,41508.74285714285
2019,2019,140,41508.74285714285
